Job Title,Company,Location,Summary,Posting_Date,Salary,Rating,Extract_Date,Job_Url
Data Research Analyst,Paxcom India,"Delhi, Delhi","Capturing the researched data on Excel sheet in required format.
PaymentUs leads the North American marketplace in electronic bill payment solutions and have…",Posted4 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=c4e65cf8ce60525e&fccid=0963aa5c8f6d9b08&vjs=3
".css-jspxzf{box-sizing:border-box;margin:0;min-width:0;-webkit-text-decoration:none;text-decoration:none;color:inherit!important;position:static;}.css-jspxzf:active,.css-jspxzf:visited,.css-jspxzf:hover,.css-jspxzf:focus{-webkit-text-decoration:none;text-decoration:none;color:inherit;}.css-jspxzf:focus-visible{outline:none;}.css-jspxzf::after{content:"""";position:absolute;left:0;top:0;right:0;bottom:0;}Data Analyst",Crypto Mize,"Delhi, Delhi","After the extraction of the data, therefore, Data Analysts have to convert the raw data into structured data by resolving the errors in the data, removing…",Posted30+ days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=b98b7cb4912d6e04&fccid=bdad58a8df3ba8a4&vjs=3
Data Analyst,lagozon technologies,"Delhi, Delhi","Knowledge of data visualisation and data analytics principles and skills –including good user experience/UI Design.
Net , SQL , Python , SSIS, or exposure to.",Hiring ongoing,"₹3,50,000 - ₹5,00,000 a year",,05-07-22,https://www.indeed.com/company/Lagozon-Technologies/jobs/Data-Analyst-3480f6cc5f7411f0?fccid=bb00918039bcdd86&vjs=3
Market Research Analyst,Report Ocean Pvt Ltd,"Noida, Uttar Pradesh","Perform qualitative and quantitative data analysis.
Develop good understanding of market, industry and technology and prepare syndicated reports, articles and…",EmployerActive 2 days ago,"₹30,000 - ₹60,000 a month",,05-07-22,https://www.indeed.com/company/Report-Ocean-Pvt-Ltd/jobs/Market-Research-Analyst-c613695d557fa628?fccid=cbc9d2be8f4408c5&vjs=3
Analyst-Data Visualization,Accenture,"Gurgaon, Haryana",You will be working as a part of the data-driven Data Visualization team which is primarily responsible for leveraging visualization tools to create informative…,Posted13 days ago,,4.0,05-07-22,https://www.indeed.com/rc/clk?jk=a6922d646573c3e0&fccid=a4e4e2eaf26690c9&vjs=3
Business Analyst,Mobile Programming India Pvt Ltd,"Gurgaon, Haryana","Evaluate and draw conclusions from data related to customer behavior.
Design and execute A/B testing procedures to extract data from test runs.",Posted30+ days ago,"₹5,62,890 - ₹15,40,348 a year",3.8,05-07-22,https://www.indeed.com/company/Mobile-Programming-India-Pvt-Ltd/jobs/Business-Analyst-671ad962dfd13d26?fccid=8e9735a1bc656e6e&vjs=3
JD – Data Analyst ( Advanced Excel) (Male/Female candidate),Shri Management Services,"Noida, Uttar Pradesh","Prepare ad hoc analyses and data reports for internal circulation.
Work on bespoke queries involving collating data from multiple Excel files and preparing a.",Posted30+ days ago,"₹6,00,000 - ₹8,00,000 a year",,05-07-22,https://www.indeed.com/rc/clk?jk=1e01cebda3e8e80b&fccid=c2c37d516c318b49&vjs=3
Junior Data Analyst,Lenovo,"Bengaluru, Karnataka","Capture and map data from all relevant data sources.
The right fit for this role will be able to jump into a siloed organization and capture requirements from…",Posted7 days ago,,3.9,05-07-22,https://www.indeed.com/rc/clk?jk=3b1f462c743cc81c&fccid=af103eaff391cdf0&vjs=3
Data Analyst,Aliqan Technologies,"Bengaluru, Karnataka","We are hiring a *Data Analyst* with*good SQL and basic knowledge of Tableau/PBI*.
Candidates who can join in the next 2 weeks will be preferred.",EmployerActive 2 days ago,,,05-07-22,https://www.indeed.com/company/Aliqan-Technologies/jobs/Data-Analyst-44e72f3e7c3839d6?fccid=0c97edd832cbb73f&vjs=3
Quality Analyst,Job Academy,"Delhi, Delhi","Managing multiple priorities – testing, handling team, continuous process improvement, data analysis and reporting.
Perform functionality check of the output.",EmployerActive 3 days ago,"₹3,00,000 - ₹11,00,000 a year",,05-07-22,https://www.indeed.com/company/Job-Academy/jobs/Quality-Analyst-fc19481ebbc2f40f?fccid=d363e75a454d6857&vjs=3
Data Analyst - Intern,Clootrack,Remote,"Passion to understand data and derive insights.
The candidate will work on data preparation, configuration and execution of Clootrack's deep learning platforms …",Posted7 days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=05ad79be85300af1&fccid=f9986eca917da32f&vjs=3
Data Analyst Internship,Crypto Mize,"Delhi, Delhi",Data Analyst Internship in Delhi at CryptoMize - Check Out Data Analyst Internship to A data analyst is a person who examines data using data analysis software.,Posted30+ days ago,,,05-07-22,https://www.indeed.com/rc/clk?jk=045dea5e40561f63&fccid=bdad58a8df3ba8a4&vjs=3
MIS & Data Analyst,Cloud wellness pvt ltd,"Ahmedabad, Gujarat","Perform data analysis for generating reports on periodic basis.
Provide support and maintenance to existing management information systems (MIS).",EmployerActive 3 days ago,"₹30,000 - ₹35,000 a month",,05-07-22,https://www.indeed.com/company/Cloud-wellness-pvt-ltd/jobs/Mis-Data-Analyst-5fae65def20f505b?fccid=9506d71fa183be21&vjs=3
Data Analyst,Woodzon,"Bengaluru, Karnataka","Should be able to handle big sets of data.
Job Profile: Candidate will have to prepare reports on daily, monthly or quarterly basis and also Ad hoc reports.",EmployerActive 2 days ago,"₹30,000 a month",,05-07-22,https://www.indeed.com/company/Woodzon/jobs/Data-Analyst-8b06ee7f81d39f00?fccid=9ef698cb39a0233d&vjs=3
Data Analyst,Proziod Analytics,"Bengaluru, Karnataka","Basic to Advanced Excel Skills (Preferred).
Basic to Advanced Google Sheet (Preferred).
Data Visualization - SQL,Power BI will be an advantage.",Posted18 days ago,"₹3,00,000 - ₹4,00,000 a year",,05-07-22,https://www.indeed.com/rc/clk?jk=e0567e32804dd623&fccid=65a1f3cfe35575c8&vjs=3
Business Analyst,Xotiv Technologies,"Delhi, Delhi",Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools.,EmployerActive 2 days ago,"₹2,88,861 - ₹13,24,028 a year",,05-07-22,https://www.indeed.com/company/Xotiv-Technologies/jobs/Business-Analyst-4a136aa9b299edc8?fccid=db71a9475441b219&vjs=3
